uri,place_id,attested_form,romanized_form_1,romanized_form_2,romanized_form_3,entidad_buscada,geometry_wkt,geometry_wkt_polygon
https://pleiades.stoa.org/places/993/gallia,993,,Gallia,,,Gallia,,
https://pleiades.stoa.org/places/991401/augusta-euphratensis,991401,,Augusta Euphratensis,,,Euphraten,,"POLYGON ((35 35, 40 35, 40 40, 35 40, 35 35))"
https://pleiades.stoa.org/places/991409/augusta-libanensis,991409,,Augusta Libanensis,,,Liba,,"POLYGON ((35 30, 40 30, 40 35, 35 35, 35 30))"
https://pleiades.stoa.org/places/991373/creta,991373,,Creta,,,Creta,,"POLYGON ((20 35, 25 35, 25 40, 20 40, 20 35))"
https://pleiades.stoa.org/places/991386/phrygia-i,991386,,Phrygia I,,,Phrygia,,"POLYGON ((25 35, 30 35, 30 40, 25 40, 25 35))"
https://pleiades.stoa.org/places/991387/aegyptus-iovia,991387,,Aegyptus Iovia,,,Aegyptus,,"POLYGON ((25 30, 30 30, 30 35, 25 35, 25 30))"
https://pleiades.stoa.org/places/991352/tuscia-et-umbria,991352,,Tuscia et Umbria,,,Umbria,,
https://pleiades.stoa.org/places/991372/achaia,991372,,Achaia,,,Achaia,,"POLYGON ((20 35, 25 35, 25 40, 20 40, 20 35))"
https://pleiades.stoa.org/places/991322/britannia-ii,991322,,Britannia II,,,Britannia,,"POLYGON ((-5 50, 0 50, 0 55, -5 55, -5 50))"
https://pleiades.stoa.org/places/991375/libya-superior,991375,,Libya Superior,,,Libya,,
https://pleiades.stoa.org/places/991335/aemilia-et-liguria,991335,,Aemilia et Liguria,,,Aemilia,,"POLYGON ((5 45, 10 45, 10 50, 5 50, 5 45))"
https://pleiades.stoa.org/places/991374/thessalia,991374,,Thessalia,,,Thessalia,,"POLYGON ((20 35, 25 35, 25 40, 20 40, 20 35))"
https://pleiades.stoa.org/places/991397/aegyptus-herculia,991397,,Aegyptus Herculia,,,Aegyptus,,"POLYGON ((30 25, 35 25, 35 30, 30 30, 30 25))"
https://pleiades.stoa.org/places/991394/phrygia-ii,991394,,Phrygia II,,,Phrygia,,"POLYGON ((30 35, 35 35, 35 40, 30 40, 30 35))"
https://pleiades.stoa.org/places/991394/phrygia-secunda,991394,,Phrygia Secunda,,,Phrygia,,"POLYGON ((30 35, 35 35, 35 40, 30 40, 30 35))"
https://pleiades.stoa.org/places/991341/africa-proconsularis,991341,,Africa Proconsularis,,,Africa,,"POLYGON ((5 35, 10 35, 10 40, 5 40, 5 35))"
https://pleiades.stoa.org/places/991321/britannia-prima,991321,Britannia Prima,Britannia Prima,,,Britannia,,"POLYGON ((-5 50, 0 50, 0 55, -5 55, -5 50))"
https://pleiades.stoa.org/places/991321/britannia-i,991321,,Britannia I,,,Britannia,,"POLYGON ((-5 50, 0 50, 0 55, -5 55, -5 50))"
https://pleiades.stoa.org/places/991317/gallaecia,991317,Gallaecia,Gallaecia,,,Gallae,,"POLYGON ((-10 40, -5 40, -5 45, -10 45, -10 40))"
https://pleiades.stoa.org/places/991388/libya-inferior,991388,,Libya Inferior,,,Libya,,"POLYGON ((25 30, 30 30, 30 35, 25 35, 25 30))"
https://pleiades.stoa.org/places/991350/campania,991350,,Campania,,,Campania,,
https://pleiades.stoa.org/places/991385/lydia,991385,,Lydia,,,Lydia,,"POLYGON ((25 35, 30 35, 30 40, 25 40, 25 35))"
https://pleiades.stoa.org/places/991389/bithynia,991389,,Bithynia,,,Bithynia,,"POLYGON ((30 40, 35 40, 35 45, 30 45, 30 40))"
https://pleiades.stoa.org/places/992071/britanniae,992071,,Britanniae,,,Britannia,,"POLYGON ((-5 50, 0 50, 0 55, -5 55, -5 50))"
https://pleiades.stoa.org/places/992075/galliae,992075,,Galliae,,,Gallia,,"POLYGON ((-5 45, 0 45, 0 50, -5 50, -5 45))"
https://pleiades.stoa.org/places/992079/asiana,992079,,Asiana,,,Asia,,
https://pleiades.stoa.org/places/992072/hispaniae,992072,,Hispaniae,,,Hispania,,"POLYGON ((-10 35, -5 35, -5 40, -10 40, -10 35))"
https://pleiades.stoa.org/places/992830/alpes-cottiae,992830,,Alpes Cottiae,,,Alpes,,"POLYGON ((5 40, 10 40, 10 45, 5 45, 5 40))"
https://pleiades.stoa.org/places/992828/alpes-graiae-et-poeninae,992828,,Alpes Graiae et Poeninae,,,Alpes,,"POLYGON ((5 45, 10 45, 10 50, 5 50, 5 45))"
https://pleiades.stoa.org/places/992829/alpes-maritimae,992829,,Alpes Maritimae,,,Alpes,,"POLYGON ((5 40, 10 40, 10 45, 5 45, 5 40))"
https://pleiades.stoa.org/places/907036116/phrygia,907036116,Phrygia,Phrygia,,,Phrygia,,
https://pleiades.stoa.org/places/903043/albania,903043,,Albania,,,Alba,POINT (45.85589 34.465114),
https://pleiades.stoa.org/places/979775194/casa-di-argo-ed-io,979775194,Casa di Argo ed Io,Casa di Argo ed Io,,,Argo,,
https://pleiades.stoa.org/places/977960860/name.2018-04-29.8463435788,977960860,,Roman Amphitheatre of Rimini,,,Roma,,
https://pleiades.stoa.org/places/971693/alexandria-oxiana,971693,,Alexandria Oxiana,,,Alexandria,,
https://pleiades.stoa.org/places/972561590/name.2017-05-23.0422896130,972561590,,Great Bulmore Roman settlement,,,Roma,POINT (-2.927247 51.618753),
https://pleiades.stoa.org/places/961873/alexandria,961873,Alexandria,Alexandria,,,Alexandria,POINT (62.192779 37.669737),
https://pleiades.stoa.org/places/961873/alexandria,961873,Alexandria,Alexandria,,,Alexandria,POINT (62.1925 37.662778),
https://pleiades.stoa.org/places/961886/bactra,961886,Bactra,Bactra,,,Bactra,,
https://pleiades.stoa.org/places/961874/alexandria-ariorum,961874,,Alexandria Ariorum,,,Alexandria,POINT (62.188384 34.345833),
https://pleiades.stoa.org/places/961874/alexandria-ariorum,961874,,Alexandria Ariorum,,,Alexandria,POINT (62.1899 34.3453),
https://pleiades.stoa.org/places/919152219/downend-roman-villa,919152219,Downend,Downend Roman villa,,,Roma,POINT (-1.2408587 50.6880631),
https://pleiades.stoa.org/places/914763973/castra-peregrina,914763973,Castra Peregrina,Castra Peregrina,,,Castra,POINT (12.494212 41.884531),
https://pleiades.stoa.org/places/912872/alexandria,912872,,Alexandria,,,Alexandria,POINT (47.561886 30.719479),
https://pleiades.stoa.org/places/912872/alexandria,912872,,Alexandria,,,Alexandria,POINT (47.563722 30.899206),
https://pleiades.stoa.org/places/912849/euphrates,912849,Εὐφράτης,Euphrates,,,Euphrates,,"POLYGON ((44 31, 45 31, 45 32, 44 32, 44 31))"
https://pleiades.stoa.org/places/912849/euphrates-1,912849,,Euphrates,,,Euphrates,,"POLYGON ((44 31, 45 31, 45 32, 44 32, 44 31))"
https://pleiades.stoa.org/places/912849/euphrates-2,912849,,Euphratēs,Euphrates,,Euphrates,,"POLYGON ((44 31, 45 31, 45 32, 44 32, 44 31))"
https://pleiades.stoa.org/places/915832/asia,915832,,Asia,,,Asia,,
https://pleiades.stoa.org/places/98908/albaniana,98908,,Albaniana,,,Alba,POINT (4.658012 52.128434),
https://pleiades.stoa.org/places/98934/castra-herculis,98934,,Castra Herculis,,,Castra,POINT (5.873611 51.970833),
https://pleiades.stoa.org/places/98918/forum-hadriani,98918,,Forum Hadriani,,,Forum,POINT (4.3481322 52.0603746),
https://pleiades.stoa.org/places/98918/forum-hadriani,98918,,Forum Hadriani,,,Forum,POINT (4.349213 52.060064),
https://pleiades.stoa.org/places/989143587/area-l,989143587,Area H,Area H,,,Area,POINT (20.062735 32.1251355),
