fragmento_buscado,fragmento_encontrado,distancia,archivo_texto,numero_linea_texto,linea_texto,seccion_diccionario,topico,metodo,umbral_usado,pos_in_line
vivamus mea lesbia atque,vivamus mea lesbia atque,0,Catulo_Carmen_005.txt,1,"Vivamus, mea Lesbia, atque amemus,",DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,,0
vivamus mea lesbia atque,vivamus mea lesbia atque,0,Catulo_Carmen_005.txt,1,"Vivamus, mea Lesbia, atque amemus,",DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,1,0
vivamus mea lesbia atque amemus,vivamus mea lesbia atque amemus,0,Catulo_Carmen_005.txt,1,"Vivamus, mea Lesbia, atque amemus,",DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,texto_completo,,0
vivamus mea lesbia atque amemus,vivamus mea lesbia atque amemus,0,Catulo_Carmen_005.txt,1,"Vivamus, mea Lesbia, atque amemus,",DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,texto_completo,1,0
rumoresque senum severiorum,rumoresque senum severiorum,0,Catulo_Carmen_005.txt,2,rumoresque senum severiorum,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,texto_completo,,0
rumoresque senum severiorum,rumoresque senum severiorum,0,Catulo_Carmen_005.txt,2,rumoresque senum severiorum,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,texto_completo,1,0
omnes unius aestimemus,omnes unius aestimemus,0,Catulo_Carmen_005.txt,3,omnes unius aestimemus assis.,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,,0
omnes unius aestimemus,omnes unius aestimemus,0,Catulo_Carmen_005.txt,3,omnes unius aestimemus assis.,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,1,0
omnes unius aestimemus assis,omnes unius aestimemus assis,0,Catulo_Carmen_005.txt,3,omnes unius aestimemus assis.,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,texto_completo,,0
omnes unius aestimemus assis,omnes unius aestimemus assis,0,Catulo_Carmen_005.txt,3,omnes unius aestimemus assis.,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,texto_completo,1,0
