fragmento_buscado,fragmento_encontrado,distancia,archivo_texto,numero_linea_texto,linea_texto,seccion_diccionario,topico,metodo,umbral_usado,pos_in_line
vivamus mea lesbia,vivamus mea lesbia,0,Catulo_Carmen_005.txt,1,"Vivamus, mea Lesbia, atque amemus,",DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,,0
vivamus mea lesbia,vivamus mea lesbia,0,Catulo_Carmen_005.txt,1,"Vivamus, mea Lesbia, atque amemus,",DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,1,0
mea lesbia atque,mea lesbia atque,0,Catulo_Carmen_005.txt,1,"Vivamus, mea Lesbia, atque amemus,",DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,,0
mea lesbia atque,mea lesbia atque,0,Catulo_Carmen_005.txt,1,"Vivamus, mea Lesbia, atque amemus,",DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,1,0
lesbia atque amemus,lesbia atque amemus,0,Catulo_Carmen_005.txt,1,"Vivamus, mea Lesbia, atque amemus,",DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,,0
lesbia atque amemus,lesbia atque amemus,0,Catulo_Carmen_005.txt,1,"Vivamus, mea Lesbia, atque amemus,",DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,1,0
vivamus mea lesbia atque,vivamus mea lesbia atque,0,Catulo_Carmen_005.txt,1,"Vivamus, mea Lesbia, atque amemus,",DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,,0
vivamus mea lesbia atque,vivamus mea lesbia atque,0,Catulo_Carmen_005.txt,1,"Vivamus, mea Lesbia, atque amemus,",DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,1,0
mea lesbia atque amemus,mea lesbia atque amemus,0,Catulo_Carmen_005.txt,1,"Vivamus, mea Lesbia, atque amemus,",DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,,0
mea lesbia atque amemus,mea lesbia atque amemus,0,Catulo_Carmen_005.txt,1,"Vivamus, mea Lesbia, atque amemus,",DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,1,0
vivamus mea lesbia atque amemus,vivamus mea lesbia atque amemus,0,Catulo_Carmen_005.txt,1,"Vivamus, mea Lesbia, atque amemus,",DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,texto_completo,,0
vivamus mea lesbia atque amemus,vivamus mea lesbia atque amemus,0,Catulo_Carmen_005.txt,1,"Vivamus, mea Lesbia, atque amemus,",DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,texto_completo,1,0
rumoresque senum severiorum,rumoresque senum severiorum,0,Catulo_Carmen_005.txt,2,rumoresque senum severiorum,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,texto_completo,,0
rumoresque senum severiorum,rumoresque senum severiorum,0,Catulo_Carmen_005.txt,2,rumoresque senum severiorum,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,texto_completo,1,0
omnes unius aestimemus,omnes unius aestimemus,0,Catulo_Carmen_005.txt,3,omnes unius aestimemus assis.,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,,0
omnes unius aestimemus,omnes unius aestimemus,0,Catulo_Carmen_005.txt,3,omnes unius aestimemus assis.,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,1,0
unius aestimemus assis,unius aestimemus assis,0,Catulo_Carmen_005.txt,3,omnes unius aestimemus assis.,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,,0
unius aestimemus assis,unius aestimemus assis,0,Catulo_Carmen_005.txt,3,omnes unius aestimemus assis.,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,1,0
omnes unius aestimemus assis,omnes unius aestimemus assis,0,Catulo_Carmen_005.txt,3,omnes unius aestimemus assis.,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,texto_completo,,0
omnes unius aestimemus assis,omnes unius aestimemus assis,0,Catulo_Carmen_005.txt,3,omnes unius aestimemus assis.,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,texto_completo,1,0
soles occidere et,soles occidere et,0,Catulo_Carmen_005.txt,4,soles occidere et redire possunt:,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,,0
soles occidere et,soles occidere et,0,Catulo_Carmen_005.txt,4,soles occidere et redire possunt:,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,1,0
occidere et redire,occidere et redire,0,Catulo_Carmen_005.txt,4,soles occidere et redire possunt:,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,,0
occidere et redire,occidere et redire,0,Catulo_Carmen_005.txt,4,soles occidere et redire possunt:,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,1,0
et redire possunt,et redire possunt,0,Catulo_Carmen_005.txt,4,soles occidere et redire possunt:,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,,0
et redire possunt,et redire possunt,0,Catulo_Carmen_005.txt,4,soles occidere et redire possunt:,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,1,0
soles occidere et redire,soles occidere et redire,0,Catulo_Carmen_005.txt,4,soles occidere et redire possunt:,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,,0
soles occidere et redire,soles occidere et redire,0,Catulo_Carmen_005.txt,4,soles occidere et redire possunt:,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,1,0
occidere et redire possunt,occidere et redire possunt,0,Catulo_Carmen_005.txt,4,soles occidere et redire possunt:,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,,0
occidere et redire possunt,occidere et redire possunt,0,Catulo_Carmen_005.txt,4,soles occidere et redire possunt:,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,1,0
soles occidere et redire possunt,soles occidere et redire possunt,0,Catulo_Carmen_005.txt,4,soles occidere et redire possunt:,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,texto_completo,,0
soles occidere et redire possunt,soles occidere et redire possunt,0,Catulo_Carmen_005.txt,4,soles occidere et redire possunt:,DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,texto_completo,1,0
nobis cum semel,nobis cum semel,0,Catulo_Carmen_005.txt,5,"nobis, cum semel occidit brevis lux,",DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,,0
nobis cum semel,nobis cum semel,0,Catulo_Carmen_005.txt,5,"nobis, cum semel occidit brevis lux,",DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,1,0
cum semel occidit,cum semel occidit,0,Catulo_Carmen_005.txt,5,"nobis, cum semel occidit brevis lux,",DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,,0
cum semel occidit,cum semel occidit,0,Catulo_Carmen_005.txt,5,"nobis, cum semel occidit brevis lux,",DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,1,0
semel occidit brevis,semel occidit brevis,0,Catulo_Carmen_005.txt,5,"nobis, cum semel occidit brevis lux,",DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,,0
semel occidit brevis,semel occidit brevis,0,Catulo_Carmen_005.txt,5,"nobis, cum semel occidit brevis lux,",DiccLine 1,INVITACIÓN AL DISFRUTE VITAL,ngrama,1,0
